StudentProfileId,SchCd,StaffID,Score,CompetencyLevel
5260079,211255,1094875,0.8,Skilled
5260689,211881,1126007,0.566666667,Learner
5267710,222856,1077807,0.6,Learner
5267964,222856,1077807,0.666666667,Skilled
5295308,219069,1134385,0.4,Beginner
5297206,224836,1249700,0.1,Beginner
5299567,223126,1238773,0.533333333,Learner
5301583,223237,1260294,0.3,Beginner
5306623,410497,1407415,0.166666667,Beginner
5307311,224972,1564800,0.666666667,Skilled
5312491,217355,1195558,0.466666667,Learner
5313024,217153,1144516,0.833333333,Expert
5316501,224996,1759850,0.433333333,Learner
5316755,215324,1682672,0.833333333,Expert
5317698,213819,1243230,0.6,Learner
5335948,219311,1174890,0.466666667,Learner
5337364,222399,1257936,0.233333333,Beginner
5340240,220086,1164499,0.3,Beginner
5342119,216553,1250906,0.833333333,Expert
5342128,213113,1139267,0.8,Skilled
5343605,212018,1239894,0.466666667,Learner
5344862,222348,1087257,0.266666667,Beginner
5349271,216482,1788522,0.633333333,Learner
5362708,223416,1780911,0.2,Beginner
5368018,217301,1089556,0.3,Beginner
5371478,215886,1097925,0.766666667,Skilled
5372442,218075,1041651,0.4,Beginner
5376736,223977,1065110,0.5,Learner
5382930,211767,1252154,0.733333333,Skilled
5383093,224720,1134004,0.9,Expert
5383916,482645,1003138,0.8,Skilled
5392342,211836,1016716,0.733333333,Skilled
5399229,223547,1260093,0.466666667,Learner
5408775,223756,1112632,0.533333333,Learner
5418709,220317,1131461,0.266666667,Beginner
5420626,220317,1131461,0.433333333,Learner
5424029,213567,1784551,0.866666667,Expert
5426800,224514,1193129,0.566666667,Learner
5436315,221596,1044005,0.766666667,Skilled
5442255,216505,1741032,0.533333333,Learner
5445175,223979,1115809,0.9,Expert
5445560,457029,1550210,0.6,Learner
5452150,223513,1088846,0.233333333,Beginner
5457712,215475,1084171,0.7,Skilled
5457982,217461,1640817,0.733333333,Skilled
5457986,217461,1640817,0.866666667,Expert
5459847,216664,1683537,0.066666667,Beginner
5463768,220374,1238791,0.733333333,Skilled
5472086,219072,1113833,0.333333333,Beginner
5478643,223591,1789617,0,Beginner
5480463,211677,1268823,0.733333333,Skilled
5482809,214180,1238618,0.633333333,Learner
5483600,215176,1042655,0.666666667,Skilled
5486282,213775,1239947,0.3,Beginner
5489147,224698,1129583,0.233333333,Beginner
5490327,217066,1253784,0.933333333,Expert
5491533,473779,1536790,0.233333333,Beginner
5491749,222720,1074650,0.266666667,Beginner
5493780,215023,1204167,0.866666667,Expert
5493856,215023,1204167,0.866666667,Expert
5500788,222362,1003324,0.633333333,Learner
5507477,223070,1506250,0.133333333,Beginner
5510535,213377,1006925,0.3,Beginner
5515032,486623,1319175,0.733333333,Skilled
5541813,211429,1242169,0.233333333,Beginner
5544347,214924,1156964,0.2,Beginner
5546035,222692,1103431,0.1,Beginner
5546504,215068,1011152,0.333333333,Beginner
5546666,223842,1773099,0.5,Learner
5552469,224762,1771053,0.1,Beginner
5556183,223437,1093725,0.233333333,Beginner
5562081,223338,1178405,0.666666667,Skilled
5562475,211565,1077110,0.733333333,Skilled
5564654,222971,1239291,0.266666667,Beginner
5564658,222971,1239291,0.266666667,Beginner
5565371,212464,1758086,0.7,Skilled
5566130,212088,1783306,0.166666667,Beginner
5571469,466923,1309251,0.6,Learner
5576875,472035,1758905,0.3,Beginner
5583859,223041,1736066,0.333333333,Beginner
5584280,213301,1036229,0.633333333,Learner
5586118,222851,1747997,0.566666667,Learner
5587458,223415,1156649,0.266666667,Beginner
5587801,224042,1570049,0.3,Beginner
5598631,224947,1260381,0.6,Learner
5603411,222150,1716196,0.6,Learner
5605078,223041,1736066,0.366666667,Beginner
5611864,211590,1032533,0.066666667,Beginner
5614956,215188,1216758,0.7,Skilled
5614978,225061,1777581,0.633333333,Learner
5620027,215822,1270508,0.7,Skilled
5620636,213578,1736679,0.8,Skilled
5624128,220819,1234783,0.566666667,Learner
5624252,220819,1234783,0.333333333,Beginner
5624503,220819,1234783,0.2,Beginner
5641490,211749,1104611,0.6,Learner
5642541,214271,1105398,0.533333333,Learner
5655821,214404,1250235,0.533333333,Learner
5656128,220046,1067897,0.633333333,Learner
5656941,223619,1564674,0.9,Expert
5663333,212267,1757326,0.9,Expert
5663350,220056,1131178,0.233333333,Beginner
5663460,220056,1131178,0.033333333,Beginner
5666877,224527,1254515,0,Beginner
5668373,224527,1254515,0.266666667,Beginner
5674433,225331,1181700,0.2,Beginner
5685525,212404,1020438,0.066666667,Beginner
5690418,215659,1204518,0.466666667,Learner
5695486,215655,1193422,0.233333333,Beginner
5697432,224446,1045043,0.233333333,Beginner
5697609,223419,1094155,0.6,Learner
5697612,223419,1094155,0.7,Skilled
